wordID,displayWordSeq,displayCol,pixelX,wordState,displayString,"inChainList",aligned,void,stretch
187,4,4,582.00,0,aggressive,"{}",1,0,0
188,5,5,682.00,0,",","{}",1,0,0
189,0,0,182.00,0,so,"{}",1,0,0
190,1,1,282.00,0,he's,"{}",1,0,0
191,2,2,382.00,0,gonna,"{}",1,0,0
192,3,3,482.00,0,like,"{}",1,0,0
193,4,4,582.00,0,go,"{}",1,0,0
194,5,5,682.00,0,for,"{}",1,0,0
195,6,6,782.00,0,every[thing],"{}",1,0,0
196,7,7,882.00,0,.,"{}",1,0,0
197,0,0,182.00,0,[How,"{}",1,0,0
198,1,1,282.00,0,|do,"{}",1,0,0
199,2,2,382.00,0,|you],"{}",1,0,0
200,3,3,482.00,0,know,"{}",1,0,0
201,4,4,582.00,0,.,"{}",1,0,0
202,0,0,182.00,0,Did,"{}",1,0,0
203,1,1,282.00,0,I,"{}",1,0,0
204,2,2,382.00,0,make,"{}",1,0,0
205,3,3,482.00,0,him,"{}",1,0,0
206,4,4,582.00,0,aggres[2sive],"{}",1,0,0
207,5,5,682.00,0,?,"{}",1,0,0
208,0,0,182.00,0,[2Yeah,"{}",1,0,0
209,1,1,282.00,0,",","{}",1,0,0
210,0,0,182.00,0,|2you,"{}",1,0,0
211,1,1,282.00,0,|2made,"{}",1,0,0
212,2,2,382.00,0,|2him2],"{}",1,0,0
213,3,3,482.00,0,aggressive,"{}",1,0,0
214,4,4,582.00,0,",","{}",1,0,0
215,0,0,182.00,0,so,"{}",1,0,0
216,1,1,282.00,0,",","{}",1,0,0
217,0,0,182.00,0,...,"{}",1,0,0
218,1,1,282.00,0,he's,"{}",1,0,0
219,2,2,382.00,0,gonna,"{}",1,0,0
220,3,3,482.00,0,like,"{}",1,0,0
221,4,4,582.00,0,",","{}",1,0,0
222,0,0,182.00,0,try,"{}",1,0,0
223,1,1,282.00,0,to,"{}",1,0,0
224,2,2,382.00,0,tear,"{}",1,0,0
225,3,3,482.00,0,everything,"{}",1,0,0
226,4,4,582.00,0,up,"{}",1,0,0
227,5,5,682.00,0,now,"{}",1,0,0
228,6,6,782.00,0,.,"{}",1,0,0
229,0,0,182.00,0,...,"{}",1,0,0
230,1,1,282.00,0,U:m,"{}",1,0,0
231,2,2,382.00,0,",","{}",1,0,0
232,0,0,182.00,0,that's,"{}",1,0,0
233,1,1,282.00,0,pretty,"{}",1,0,0
234,2,2,382.00,0,well,"{}",1,0,0
235,3,3,482.00,0,",","{}",1,0,0
236,0,0,182.00,0,like,"{}",1,0,0
237,1,1,282.00,0,secure,"{}",1,0,0
238,2,2,382.00,0,right,"{}",1,0,0
239,3,3,482.00,0,there,"{}",1,0,0
240,4,4,582.00,0,",","{}",1,0,0
241,0,0,182.00,0,so,"{}",1,0,0
242,1,1,282.00,0,maybe,"{}",1,0,0
243,2,2,382.00,0,--,"{}",1,0,0
244,0,0,182.00,0,...,"{}",1,0,0
245,1,1,282.00,0,That's,"{}",1,0,0
246,2,2,382.00,0,me,"{}",1,0,0
247,3,3,482.00,0,",","{}",1,0,0
248,0,0,182.00,0,...,"{}",1,0,0
249,1,1,282.00,0,##,"{}",1,0,0
250,0,0,182.00,0,...,"{}",1,0,0
251,1,1,282.00,0,Oh:,"{}",1,0,0
252,2,2,382.00,0,fuck,"{}",1,0,0
253,3,3,482.00,0,.,"{}",1,0,0
254,0,0,182.00,0,...,"{}",1,0,0
255,1,1,282.00,0,Wow,"{}",1,0,0
256,2,2,382.00,0,",","{}",1,0,0
257,0,0,182.00,0,he,"{}",1,0,0
258,1,1,282.00,0,wiped,"{}",1,0,0
259,2,2,382.00,0,my,"{}",1,0,0
260,3,3,482.00,0,ass,"{}",1,0,0
261,4,4,582.00,0,out,"{}",1,0,0
262,5,5,682.00,0,.,"{}",1,0,0
263,0,0,182.00,0,...,"{}",1,0,0
264,1,1,282.00,0,{BEEP},"{}",1,0,0
265,0,0,181.94,0,...,"{}",1,0,0
266,1,1,281.94,0,Ah:,"{}",1,0,0
267,2,2,381.94,0,",","{}",1,0,0
268,0,0,181.99,0,you,"{}",1,0,0
269,1,1,281.99,0,suck,"{}",1,0,0
270,2,2,381.99,0,.,"{}",1,0,0
271,0,0,182.00,0,Watch,"{}",1,0,0
272,1,1,282.00,0,this,"{}",1,0,0
273,2,2,382.00,0,.,"{}",1,0,0
274,0,0,182.00,0,...,"{}",1,0,0
275,1,1,282.00,0,Looser,"{}",1,0,0
276,2,2,382.00,0,.,"{}",1,0,0
