wordID,displayWordSeq,displayCol,pixelX,wordState,displayString,"inChainList","inBoxList",aligned,void,stretch,replaceWord
207,1,1,270.00,0,~Tim,"{}","{}",1,0,0, 
208,2,2,370.00,0,",","{}","{}",1,0,0, 
209,0,0,170.00,0,he,"{}","{}",1,0,0, 
210,1,1,270.00,0,has,"{}","{}",1,0,0, 
211,2,2,370.00,0,to,"{}","{}",1,0,0, 
212,3,3,470.00,0,w:ork,"{}","{}",1,0,0, 
213,4,4,570.00,0,",","{}","{}",1,0,0, 
214,0,0,170.00,0,...,"{}","{}",1,0,0, 
215,1,1,270.00,0,for,"{}","{}",1,0,0, 
216,2,2,370.00,0,every,"{}","{}",1,0,0, 
217,3,3,470.00,0,little,"{}","{}",1,0,0, 
218,4,4,570.00,0,dime,"{}","{}",1,0,0, 
219,5,5,670.00,0,that,"{}","{}",1,0,0, 
220,6,6,770.00,0,he,"{}","{}",1,0,0, 
221,7,7,870.00,0,makes,"{}","{}",1,0,0, 
222,8,8,970.00,0,.,"{}","{}",1,0,0, 
223,0,0,170.00,0,...,"{}","{}",1,0,0, 
224,1,1,270.00,0,You,"{}","{}",1,0,0, 
225,2,2,370.00,0,know,"{}","{}",1,0,0, 
226,3,3,470.00,0,?,"{}","{}",1,0,0, 
227,0,0,170.00,0,..,"{}","{}",1,0,0, 
228,1,1,270.00,0,[Yeah:],"{}","{}",1,0,0, 
229,2,2,370.00,0,.,"{}","{}",1,0,0, 
230,0,0,200,0,[He,"{}","{}",1,0,0, 
231,0,1,300,0,|doesn't],"{}","{}",1,0,0, 
232,0,2,400,0,get,"{}","{}",1,0,0, 
233,0,3,500,0,any,"{}","{}",1,0,0, 
234,0,4,600,0,breaks,"{}","{}",1,0,0, 
235,0,5,700,0,.,"{}","{}",1,0,0, 
236,0,0,200,0,...,"{}","{}",1,0,0, 
237,0,1,300,0,Yeah%,"{}","{}",1,0,0, 
238,0,2,400,0,",","{}","{}",1,0,0, 
239,0,0,200,0,...,"{}","{}",1,0,0, 
240,0,1,300,0,~Tim,"{}","{}",1,0,0, 
241,0,2,400,0,is,"{}","{}",1,0,0, 
242,0,3,500,0,on,"{}","{}",1,0,0, 
243,0,4,600,0,salary:,"{}","{}",1,0,0, 
244,0,5,700,0,",","{}","{}",1,0,0, 
245,0,0,200,0,and,"{}","{}",1,0,0, 
246,0,1,300,0,he,"{}","{}",1,0,0, 
247,0,2,400,0,can,"{}","{}",1,0,0, 
248,0,3,500,0,take,"{}","{}",1,0,0, 
249,0,4,600,0,lea:ve,"{}","{}",1,0,0, 
250,0,5,700,0,",","{}","{}",1,0,0, 
251,0,0,200,0,and,"{}","{}",1,0,0, 
252,0,1,300,0,",","{}","{}",1,0,0, 
253,0,0,200,0,Mhm,"{}","{}",1,0,0, 
254,0,1,300,0,",","{}","{}",1,0,0, 
255,0,0,200,0,...,"{}","{}",1,0,0, 
256,0,1,300,0,and,"{}","{}",1,0,0, 
257,0,2,400,0,[he,"{}","{}",1,0,0, 
258,0,3,500,0,|earns],"{}","{}",1,0,0, 
259,0,4,600,0,lea:ve,"{}","{}",1,0,0, 
260,0,5,700,0,",","{}","{}",1,0,0, 
261,0,0,200,0,[he's],"{}","{}",1,0,0, 
262,0,1,300,0,--,"{}","{}",1,0,0, 
263,0,0,200,0,...,"{}","{}",1,0,0, 
264,0,1,300,0,he,"{}","{}",1,0,0, 
265,0,2,400,0,gets,"{}","{}",1,0,0, 
266,0,3,500,0,sick,"{}","{}",1,0,0, 
267,0,4,600,0,leave,"{}","{}",1,0,0, 
268,0,5,700,0,",","{}","{}",1,0,0, 
269,0,0,200,0,...,"{}","{}",1,0,0, 
270,0,1,300,0,we,"{}","{}",1,0,0, 
271,0,2,400,0,don't,"{}","{}",1,0,0, 
272,0,3,500,0,get,"{}","{}",1,0,0, 
273,0,4,600,0,shit,"{}","{}",1,0,0, 
274,0,5,700,0,.,"{}","{}",1,0,0, 
275,0,0,200,0,...,"{}","{}",1,0,0, 
276,0,1,300,0,I,"{}","{}",1,0,0, 
277,0,2,400,0,don't,"{}","{}",1,0,0, 
278,0,3,500,0,know,"{}","{}",1,0,0, 
279,0,4,600,0,.,"{}","{}",1,0,0, 
280,0,0,200,0,...,"{}","{}",1,0,0, 
281,0,1,300,0,...,"{}","{}",1,0,0, 
282,0,2,400,0,It,"{}","{}",1,0,0, 
283,0,3,500,0,is,"{}","{}",1,0,0, 
284,0,4,600,0,really,"{}","{}",1,0,0, 
285,0,5,700,0,hard,"{}","{}",1,0,0, 
286,0,6,800,0,living,"{}","{}",1,0,0, 
287,0,7,900,0,with,"{}","{}",1,0,0, 
288,0,8,1000,0,another,"{}","{}",1,0,0, 
289,0,9,1100,0,couple,"{}","{}",1,0,0, 
290,0,10,1200,0,.,"{}","{}",1,0,0, 
291,0,0,200,0,...,"{}","{}",1,0,0, 
292,0,1,300,0,I,"{}","{}",1,0,0, 
293,0,2,400,0,mean,"{}","{}",1,0,0, 
294,0,3,500,0,",","{}","{}",1,0,0, 
295,0,0,200,0,..,"{}","{}",1,0,0, 
296,0,1,300,0,we,"{}","{}",1,0,0, 
297,0,2,400,0,--,"{}","{}",1,0,0, 
298,0,0,200,0,If,"{}","{}",1,0,0, 
299,0,1,300,0,we,"{}","{}",1,0,0, 
300,0,2,400,0,set,"{}","{}",1,0,0, 
301,0,3,500,0,our,"{}","{}",1,0,0, 
302,0,4,600,0,--,"{}","{}",1,0,0, 
303,0,0,200,0,..,"{}","{}",1,0,0, 
304,0,1,300,0,If,"{}","{}",1,0,0, 
305,0,2,400,0,we,"{}","{}",1,0,0, 
306,0,3,500,0,sit,"{}","{}",1,0,0, 
307,0,4,600,0,down,"{}","{}",1,0,0, 
308,0,5,700,0,and,"{}","{}",1,0,0, 
309,0,6,800,0,set,"{}","{}",1,0,0, 
310,0,7,900,0,some,"{}","{}",1,0,0, 
311,0,8,1000,0,rules,"{}","{}",1,0,0, 
312,0,9,1100,0,",","{}","{}",1,0,0, 
313,0,0,200,0,which,"{}","{}",1,0,0, 
314,0,1,300,0,we,"{}","{}",1,0,0, 
315,0,2,400,0,never,"{}","{}",1,0,0, 
316,0,3,500,0,did,"{}","{}",1,0,0, 
317,0,4,600,0,",","{}","{}",1,0,0, 
318,0,0,200,0,..,"{}","{}",1,0,0, 
319,0,1,300,0,%it,"{}","{}",1,0,0, 
320,0,2,400,0,could,"{}","{}",1,0,0, 
321,0,3,500,0,work,"{}","{}",1,0,0, 
322,0,4,600,0,.,"{}","{}",1,0,0, 
323,0,0,200,0,...,"{}","{}",1,0,0, 
324,0,1,300,0,You,"{}","{}",1,0,0, 
325,0,2,400,0,know,"{}","{}",1,0,0, 
326,0,3,500,0,",","{}","{}",1,0,0, 
327,0,0,200,0,..,"{}","{}",1,0,0, 
328,0,1,300,0,Mhm,"{}","{}",1,0,0, 
329,0,2,400,0,.,"{}","{}",1,0,0, 
330,0,0,200,0,...,"{}","{}",1,0,0, 
331,0,1,300,0,what,"{}","{}",1,0,0, 
332,0,2,400,0,it,"{}","{}",1,0,0, 
333,0,3,500,0,amounts,"{}","{}",1,0,0, 
334,0,4,600,0,to,"{}","{}",1,0,0, 
335,0,5,700,0,",","{}","{}",1,0,0, 
336,0,0,200,0,is,"{}","{}",1,0,0, 
337,0,1,300,0,mutual,"{}","{}",1,0,0, 
338,0,2,400,0,r-,"{}","{}",1,0,0, 
339,0,3,500,0,respect,"{}","{}",1,0,0, 
340,0,4,600,0,",","{}","{}",1,0,0, 
341,0,0,200,0,and,"{}","{}",1,0,0, 
342,0,1,300,0,l-,"{}","{}",1,0,0, 
343,0,2,400,0,like,"{}","{}",1,0,0, 
344,0,3,500,0,~Tim,"{}","{}",1,0,0, 
345,0,4,600,0,told,"{}","{}",1,0,0, 
346,0,5,700,0,*Ro:n,"{}","{}",1,0,0, 
347,0,6,800,0,",","{}","{}",1,0,0, 
348,0,0,200,0,...,"{}","{}",1,0,0, 
349,0,1,300,0,...,"{}","{}",1,0,0, 
350,0,2,400,0,he:,"{}","{}",1,0,0, 
351,0,3,500,0,told,"{}","{}",1,0,0, 
352,0,4,600,0,him,"{}","{}",1,0,0, 
353,0,5,700,0,",","{}","{}",1,0,0, 
354,0,0,200,0,he,"{}","{}",1,0,0, 
355,0,1,300,0,goes,"{}","{}",1,0,0, 
356,0,2,400,0,um,"{}","{}",1,0,0, 
357,0,3,500,0,",","{}","{}",1,0,0, 
358,0,0,200,0,...,"{}","{}",1,0,0, 
359,0,1,300,0,what,"{}","{}",1,0,0, 
360,0,2,400,0,was,"{}","{}",1,0,0, 
361,0,3,500,0,it,"{}","{}",1,0,0, 
362,0,4,600,0,he,"{}","{}",1,0,0, 
363,0,5,700,0,goes,"{}","{}",1,0,0, 
364,0,6,800,0,",","{}","{}",1,0,0, 
365,0,0,200,0,...,"{}","{}",1,0,0, 
366,0,1,300,0,nobody,"{}","{}",1,0,0, 
367,0,2,400,0,fucks,"{}","{}",1,0,0, 
368,0,3,500,0,with,"{}","{}",1,0,0, 
369,0,4,600,0,my,"{}","{}",1,0,0, 
370,0,5,700,0,lifestyle,"{}","{}",1,0,0, 
371,0,6,800,0,.,"{}","{}",1,0,0, 
372,0,0,200,0,...,"{}","{}",1,0,0, 
373,0,1,300,0,@I,"{}","{}",1,0,0, 
374,0,2,400,0,feel,"{}","{}",1,0,0, 
375,0,3,500,0,the,"{}","{}",1,0,0, 
376,0,4,600,0,exact,"{}","{}",1,0,0, 
377,0,5,700,0,same,"{}","{}",1,0,0, 
378,0,6,800,0,way,"{}","{}",1,0,0, 
379,0,7,900,0,.,"{}","{}",1,0,0, 
380,0,0,200,0,...,"{}","{}",1,0,0, 
381,0,1,300,0,And,"{}","{}",1,0,0, 
382,0,2,400,0,all,"{}","{}",1,0,0, 
383,0,3,500,0,those,"{}","{}",1,0,0, 
384,0,4,600,0,bitches,"{}","{}",1,0,0, 
385,0,5,700,0,and,"{}","{}",1,0,0, 
386,0,6,800,0,complaints,"{}","{}",1,0,0, 
387,0,7,900,0,that,"{}","{}",1,0,0, 
388,0,8,1000,0,he,"{}","{}",1,0,0, 
389,0,9,1100,0,has,"{}","{}",1,0,0, 
390,0,10,1200,0,",","{}","{}",1,0,0, 
391,0,0,200,0,they're,"{}","{}",1,0,0, 
392,0,1,300,0,about,"{}","{}",1,0,0, 
393,0,2,400,0,my,"{}","{}",1,0,0, 
394,0,3,500,0,lifestyle,"{}","{}",1,0,0, 
395,0,4,600,0,.,"{}","{}",1,0,0, 
396,0,0,200,0,...,"{}","{}",1,0,0, 
397,0,1,300,0,Mhm:,"{}","{}",1,0,0, 
398,0,2,400,0,",","{}","{}",1,0,0, 
399,0,0,200,0,And,"{}","{}",1,0,0, 
400,0,1,300,0,he,"{}","{}",1,0,0, 
401,0,2,400,0,doesn't,"{}","{}",1,0,0, 
402,0,3,500,0,realize,"{}","{}",1,0,0, 
403,0,4,600,0,that,"{}","{}",1,0,0, 
404,0,5,700,0,.,"{}","{}",1,0,0, 
405,0,0,200,0,...,"{}","{}",1,0,0, 
406,0,0,200,0,And,"{}","{}",1,0,0, 
407,0,1,300,0,that's,"{}","{}",1,0,0, 
408,0,2,400,0,what,"{}","{}",1,0,0, 
409,0,3,500,0,I'm,"{}","{}",1,0,0, 
410,0,4,600,0,gonna,"{}","{}",1,0,0, 
411,0,5,700,0,tell,"{}","{}",1,0,0, 
412,0,6,800,0,him,"{}","{}",1,0,0, 
413,0,7,900,0,.,"{}","{}",1,0,0, 
414,0,0,200,0,...,"{}","{}",1,0,0, 
415,0,1,300,0,We:ll,"{}","{}",1,0,0, 
416,0,2,400,0,",","{}","{}",1,0,0, 
417,0,0,200,0,..,"{}","{}",1,0,0, 
418,0,1,300,0,%:,"{}","{}",1,0,0, 
419,0,2,400,0,you,"{}","{}",1,0,0, 
420,0,3,500,0,know,"{}","{}",1,0,0, 
421,0,4,600,0,",","{}","{}",1,0,0, 
422,0,0,200,0,...,"{}","{}",1,0,0, 
423,0,1,300,0,And,"{}","{}",1,0,0, 
424,0,2,400,0,the,"{}","{}",1,0,0, 
425,0,3,500,0,only,"{}","{}",1,0,0, 
426,0,4,600,0,way,"{}","{}",1,0,0, 
427,0,5,700,0,it's,"{}","{}",1,0,0, 
428,0,6,800,0,gonna,"{}","{}",1,0,0, 
429,0,7,900,0,work,"{}","{}",1,0,0, 
430,0,8,1000,0,",","{}","{}",1,0,0, 
431,0,0,200,0,is,"{}","{}",1,0,0, 
432,0,1,300,0,if,"{}","{}",1,0,0, 
433,0,2,400,0,we,"{}","{}",1,0,0, 
434,0,3,500,0,have,"{}","{}",1,0,0, 
435,0,4,600,0,respect,"{}","{}",1,0,0, 
436,0,5,700,0,for,"{}","{}",1,0,0, 
437,0,6,800,0,one,"{}","{}",1,0,0, 
438,0,7,900,0,another,"{}","{}",1,0,0, 
439,0,8,1000,0,.,"{}","{}",1,0,0, 
440,0,0,200,0,That's,"{}","{}",1,0,0, 
441,0,1,300,0,right,"{}","{}",1,0,0, 
442,0,2,400,0,.,"{}","{}",1,0,0, 
443,0,0,200,0,...,"{}","{}",1,0,0, 
444,0,1,300,0,That's,"{}","{}",1,0,0, 
445,0,2,400,0,right,"{}","{}",1,0,0, 
446,0,3,500,0,.,"{}","{}",1,0,0, 
447,0,0,200,0,And,"{}","{}",1,0,0, 
448,0,1,300,0,it,"{}","{}",1,0,0, 
449,0,2,400,0,doesn't,"{}","{}",1,0,0, 
450,0,3,500,0,mean,"{}","{}",1,0,0, 
451,0,4,600,0,",","{}","{}",1,0,0, 
452,0,0,200,0,going,"{}","{}",1,0,0, 
453,0,1,300,0,to,"{}","{}",1,0,0, 
454,0,2,400,0,...,"{}","{}",1,0,0, 
455,0,3,500,0,our,"{}","{}",1,0,0, 
456,0,4,600,0,parents,"{}","{}",1,0,0, 
457,0,5,700,0,",","{}","{}",1,0,0, 
458,0,0,200,0,and,"{}","{}",1,0,0, 
459,0,1,300,0,...,"{}","{}",1,0,0, 
460,0,2,400,0,complaining,"{}","{}",1,0,0, 
461,0,3,500,0,about,"{}","{}",1,0,0, 
462,0,4,600,0,one,"{}","{}",1,0,0, 
463,0,5,700,0,another,"{}","{}",1,0,0, 
464,0,6,800,0,",","{}","{}",1,0,0, 
465,0,0,200,0,...,"{}","{}",1,0,0, 
466,0,1,300,0,I'm,"{}","{}",1,0,0, 
467,0,2,400,0,gonna,"{}","{}",1,0,0, 
468,0,3,500,0,tell,"{}","{}",1,0,0, 
469,0,4,600,0,him,"{}","{}",1,0,0, 
470,0,5,700,0,",","{}","{}",1,0,0, 
471,0,0,200,0,if,"{}","{}",1,0,0, 
472,0,1,300,0,you,"{}","{}",1,0,0, 
473,0,2,400,0,have,"{}","{}",1,0,0, 
474,0,3,500,0,any,"{}","{}",1,0,0, 
475,0,4,600,0,complaints,"{}","{}",1,0,0, 
476,0,5,700,0,",","{}","{}",1,0,0, 
477,0,0,200,0,you,"{}","{}",1,0,0, 
478,0,1,300,0,..,"{}","{}",1,0,0, 
479,0,2,400,0,talk,"{}","{}",1,0,0, 
480,0,3,500,0,to,"{}","{}",1,0,0, 
481,0,4,600,0,the,"{}","{}",1,0,0, 
482,0,5,700,0,person,"{}","{}",1,0,0, 
483,0,6,800,0,that,"{}","{}",1,0,0, 
484,0,7,900,0,you,"{}","{}",1,0,0, 
485,0,8,1000,0,have,"{}","{}",1,0,0, 
