Token,Lemma,Transcript,Count,Category,Subcategory,Correction,Special,Two_words,End_tone,Overlap,Lag,@word,#word,%word,_word,Other_symbols,Standoff,Name,Stop_List,[POS]
((door_closing)),,[2((door_closing))],3,comment,,CAPS,,,,[],,,,,,,,,,
((door_opening_and_closing)),,((door_opening_and_closing)),1,comment,,CAPS,,,,,,,,,,,,,,
((door_opening)),,((door_opening)),1,comment,,CAPS,,,,,,,,,,,,,,
((door_opens)),,((door_opens)),3,comment,,CAPS,,,,,,,,,,,,,,
((door_opens)),,[((door_opens))],1,comment,,CAPS,,,,[],,,,,,,,,,
((door)),,((door)),1,comment,,CAPS,,,,,,,,,,,,,,
((doors_opening_and_closing)),,((doors_opening_and_closing))[:],1,comment,,CAPS,,,,[],lag,,,,,,,,,
((flips_switch)),,((flips_switch)),1,comment,,CAPS,,,,,,,,,,,,,,
((flips_switch)),,[((flips_switch)),1,comment,,CAPS,,,,[,,,,,,,,,,
((footsteps_and_ambient_crowd_noise)),,((footsteps_and_ambient_crowd_noise)),3,comment,,CAPS,,,,,,,,,,,,,,
((hits_nathan_with_paper)),,((hits_nathan_with_paper)),1,comment,,CAPS,,,,,,,,,,,,,,
((inaudible)),,[((inaudible))],1,comment,,CAPS,##,,,[],,,,,,,,,,
((kitchen_noise)),,[((kitchen_noise))],1,comment,,CAPS,,,,[],,,,,,,,,,
((knock_knock_knock)),,[3((knock_knock]_knock)),1,comment,,CAPS,,,,[],,,,,,,,,,
((knocking)),,((knocking)),1,comment,,CAPS,,,,,,,,,,,,,,
((machine_louder)),,((machine_louder)),2,comment,,CAPS,,,,,,,,,,,,,,
((match_strike))_work,,((match_strike))_work?,1,comment,,CAPS,,,appeal,,,,,,,,,,,
((music_becomes_audible)),,((music_becomes_audible)),1,comment,,CAPS,,,,,,,,,,,,,,
((music_starts)),,((music_starts)),1,comment,,CAPS,,,,,,,,,,,,,,
((music_stops)),,((music_stops)),1,comment,,CAPS,,,,,,,,,,,,,,
((opens_juice_bottle)),,((opens_juice_bottle)),1,comment,,CAPS,,,,,,,,,,,,,,
((opens-card)),,((opens-card)),1,comment,,CAPS,,,,,,,,,,,,,,
((overhead_light_goes_on_by_itself)),,((overhead_light_goes_on_by_itself)),1,comment,,CAPS,,,,,,,,,,,,,,
((pans)),,((pans)),1,comment,,CAPS,,,,,,,,,,,,,,
((paper_cutting)),,[((paper_cutting))],1,comment,,CAPS,,,,[],,,,,,,,,,
((paper_tear)),,((paper_tear)),1,comment,,CAPS,,,,,,,,,,,,,,
((pop-top)),,[((pop-top))],1,comment,,CAPS,,,,[],,,,,,,,,,
((pop)),,((pop)),1,comment,,CAPS,,,,,,,,,,,,,,
((pop)),,[((pop))],1,comment,,CAPS,,,,[],,,,,,,,,,
((pours_juice)),,((pours_juice)),1,comment,,CAPS,,,,,,,,,,,,,,
((radio_becomes_audible)),,((radio_becomes_audible)),2,comment,,CAPS,,,,,,,,,,,,,,
((radio_becomes_inaudible)),,((radio_becomes_inaudible)),1,comment,,CAPS,,,,,,,,,,,,,,
((rocking_chair_squeaking)),,((rocking_chair_squeaking)),1,comment,,CAPS,,,,,,,,,,,,,,
